user_id,nickname,sex,sign,avatar,last_modify_ts,total_fans,total_liked,user_rank,is_official
3706931598329938,道系青年Wilson_,男,命理爱好者 | 用科学态度探索东方智慧,https://i1.hdslb.com/bfs/face/24e1b5c5d0bdc9c234aa268e2393a793cc4922d6.jpg,1779851068602,7451,3844,3,-1
1792202874,灵机子哦,男,"看剧本chenchao2378——晚10点就睡，保命要紧啊！
兼新房置业顾问 保险理财",https://i0.hdslb.com/bfs/face/e8d387e34808a43ddc6f2c0cea8b88035563a567.jpg,1779851068621,109055,241085,6,0
61437342,酒友Tarot,女,Hi 你好呀 我是酒友~ 建议与反馈请发邮件至：feedback9utarot@163.com,https://i0.hdslb.com/bfs/face/3b93ca0d6dd317fd32edd486c20fe095eec07341.jpg,1779851068633,651172,5517102,6,0
3493293488867684,米核AI大琪,保密,学习/定制/合作，找【mvp66558】。希望帮助每个零基础小白学会coze搭建，因为这是我的来时路，持续进化中?,https://i2.hdslb.com/bfs/face/c11aeabea89ab0c25a33db8997a852c64dc9f5af.jpg,1779851068669,3680,5184,4,-1
1784854,小酌一杯cho,保密,谢谢你的关注和陪伴。 我会继续认真做内容，不辜负每一次点进来的人。,https://i1.hdslb.com/bfs/face/64adb31f47dbe1270d350e22f6e5e2401c02908d.jpg,1779851068683,3547,13168,6,-1
3493289474918627,明因Meaning,女,中传老人，中式塔罗众筹项目制作中，喜马拉雅“与明因一起学道德经” @烛兔_丰十二直播绘画过程～  充电频道暂命名：明因驿馆，欢迎加入！,https://i2.hdslb.com/bfs/face/1a45d9ca5162a77aea1de2afdaadcfb31ff960ea.jpg,1779851068689,116231,638726,6,-1
1009654589,沐水䝨森,男,想学可以联系老师,https://i2.hdslb.com/bfs/face/8fbeb9fff2f5a4622fea6f48669be94ece42add9.jpg,1779851068699,10404,40286,6,-1
3546382266796247,天乙神算,男,天乙神算  玄学+AI  平台发布上线！ 五年寻道度己  十年修道度人 ,https://i2.hdslb.com/bfs/face/33c0e4154be9a0e1abee5132ab08045d35d36170.jpg,1779851068709,49785,26820,4,-1
3546640925329620,咔咔的红宝书,保密,微信kakaredbook（7月25日开营）｜持续分享AI和自媒体实操的最前线,https://i0.hdslb.com/bfs/face/8ad5c59afd9832b179703ccb8db5e348ab3e7225.jpg,1779851068721,31655,33374,5,-1
1505583198,老阎的秘密基地,男,听玄学故事，品现实人生,https://i0.hdslb.com/bfs/face/bf4ada33ba42d36a31679e3c16f6f6e899e59e1a.jpg,1779851068730,127061,366940,6,0
351251536,雄十一浪,男,古希腊掌管平行世界的神，一个梦想成为导演的蓝人。商务合作vx：HWAH7888,https://i1.hdslb.com/bfs/face/027acd337fd2bf9cb8e1f65858f5fd5ce50637e9.jpg,1779851068737,896454,11469662,6,0
3546775822534944,剑桥图灵子,保密,安心舍App创始人，剑桥本硕、普林斯顿博士。前苹果、桥水基金人工智能科学家，师承全真龙门派马恺济，深耕东西方玄学，精通大六壬奇门紫微四柱八字,https://i0.hdslb.com/bfs/face/673a17cda146df47aaf80969f011c45adae3cf6c.jpg,1779851068745,122676,71509,6,-1
3546703428847632,汤品丞大六壬决策,男,"央财硕士｜通过司考｜体制内10年
一个懂经济、懂法律的大六壬决策顾问
✉️✉️✉️咨询请私信",https://i0.hdslb.com/bfs/face/c27cafd4ea0c8d60fc0d48964e26a7c5d7fb0e97.jpg,1779851068754,2615,3308,3,-1
14719402,半撇老师,男,AI 自媒体副业教练！香港新媒体硕士，半撇私塾创始人&数字游民，助2W+学员开启副业，购课合作+Banpie01。,https://i1.hdslb.com/bfs/face/b987f1f4061cda7bcf2287ce4456a0949fee9e2e.jpg,1779851068760,111987,163778,6,0
1743801107,老邢清谈,男,,https://i2.hdslb.com/bfs/face/16b0855d6991f0bc6968f0ad7c60f1b9ca73fefe.jpg,1779851068767,653,634,3,-1
3546729536293810,六壬拼图师,男,天地人 学习+ syt51777,https://i1.hdslb.com/bfs/face/d58e6b78cc974a9c8c053ca619377394ef471b4e.jpg,1779851068771,20,63,4,-1
3493133646040009,道道总是睡不着,保密,不看私信，交流V：bluebluedao，同名小程序：道道总是睡不着，已上线！,https://i1.hdslb.com/bfs/face/1819e470ef134d9069680dd93e0fd1ff0614d0a3.jpg,1779851068780,859416,5439324,6,0
