video_id,video_type,title,desc,create_time,user_id,nickname,avatar,liked_count,disliked_count,video_play_count,video_favorite_count,video_share_count,video_coin_count,video_danmaku,video_comment,last_modify_ts,video_url,video_cover_url,source_keyword
116571703871711,video,我做了一个结合八字+紫微+老黄历+六爻的命理 AI Agent 「AI赛博算命」,"哈喽大家好，我是 Wilson。

最近我给 FateMaster 做了一个我自己觉得特别有意思的新功能：

「命理 AI Agent」。

和以前那种单独使用八字、紫微、六爻、黄历的方式不一样。

这次你不需要自己决定：
用什么术数
看哪个工具
什么时候起盘
什么时候择日
你只需要提出问题。

AI 会自己思考：
什么时候用八字、
什么时候结合紫微斗数、
什么时候起六爻、
什么时候调用黄历择日，
甚至会把多个体系融合起来一起分析。

而且它还有持续记忆能力。

它会慢慢记住：
你的人生阶段、
最近关注的问题、
长期反复出现的困惑。

这期视频里，
我演示了两个案例：

1️⃣ 八字 + 紫微综合分析
“今年是否适合外出求财？”

2️⃣ 黄历择日案例
“下周哪天适合出差？”

可以看到 AI 会自己：
排盘
查询黄历
分析冲煞
综合多个体系给出结论
后面甚至还可以继续结合：
六爻、
大运流年、
紫微大限，
做交叉验证。


感兴趣的话，
欢迎你们也拿一些问题去测试一下。
说不定会有意外收获。
#命理AI
#AIAgent
#八字
#紫微斗数
#六爻
#黄历
#择日
#AI工具
#Fa",1778743339,3706931598329938,道系青年Wilson_,https://i1.hdslb.com/bfs/face/24e1b5c5d0bdc9c234aa268e2393a793cc4922d6.jpg,2273,0,33163,1746,181,2320,29,2801,1779851068592,https://www.bilibili.com/video/av116571703871711,http://i2.hdslb.com/bfs/archive/9be09e84993d4a60b46b0d86fdd9b25d67e33600.jpg,AI玄学
114775602236447,video,手把手教你DeepSeek算命提问方法应用指南！,-,1751336943,1792202874,灵机子哦,https://i0.hdslb.com/bfs/face/e8d387e34808a43ddc6f2c0cea8b88035563a567.jpg,12112,0,445737,24203,4196,3402,331,1259,1779851068615,https://www.bilibili.com/video/av114775602236447,http://i0.hdslb.com/bfs/archive/ce4b5c73e4d5ca7e12adc10751e7f2ec8c5939b4.jpg,AI玄学
116616280935005,video,人工智能未来3年发展，ai能否代替玄学师傅？,"娱乐为主，请务必理智看待～
本期音轨因麦克风接触不良有小问题，请大家见谅～",1779847800,61437342,酒友Tarot,https://i0.hdslb.com/bfs/face/3b93ca0d6dd317fd32edd486c20fe095eec07341.jpg,86,0,1679,22,4,25,1,16,1779851068627,https://www.bilibili.com/video/av116616280935005,http://i1.hdslb.com/bfs/archive/f2db1ec0ab635306410ca2d7a95bb5b3c3247ac4.jpg,AI玄学
114958440405845,video,【2025扣子实操教学】Coze工作流一键生成道教玄学视频！AI批量生成视频！玄学赛道必备！零基础扣子教程——AI创作_AI视频_AI绘画_AIGC人工智能,"【2025扣子实操教学】Coze工作流一键生成道教玄学视频！AI批量生成视频！玄学赛道必备！零基础扣子教程——AI创作_AI视频_AI绘画_AIGC人工智能
玄学赛道_道士必备工作流，一键生成道教玄学视频
还在为剪视频/找素材烦恼吗？用扣子工作流，1min生成一条视频，大大提高工作效率！
手把手教你从零搭建，新手小白/手残党也能轻松入门！超详细教程！
提示词和代码已经打包好！想要的可以 一 键 三 联 + 关 注，在评论区回复：已 三 连，有其他需求的也可以找我
持续更新中哦~",1754134200,3493293488867684,米核AI大琪,https://i2.hdslb.com/bfs/face/c11aeabea89ab0c25a33db8997a852c64dc9f5af.jpg,302,0,6788,467,89,309,34,174,1779851068666,https://www.bilibili.com/video/av114958440405845,http://i0.hdslb.com/bfs/archive/3bf9020ea308c76bb1ff0c8e4b383d2383744bc1.jpg,AI玄学
116068001520905,video,Ai算命哪家强？,,1771057444,1784854,小酌一杯cho,https://i1.hdslb.com/bfs/face/64adb31f47dbe1270d350e22f6e5e2401c02908d.jpg,1098,0,113101,1447,263,175,34,554,1779851068676,https://www.bilibili.com/video/av116068001520905,http://i1.hdslb.com/bfs/archive/25cc69375dc3ded683c329185e2412846ef970bb.jpg,AI玄学
113996568986144,video,玄学从业者对于ai时代到来后，年轻人如何自处的建议。|明因聊玄,,1739449649,3493289474918627,明因Meaning,https://i2.hdslb.com/bfs/face/1a45d9ca5162a77aea1de2afdaadcfb31ff960ea.jpg,5505,0,46926,4115,274,1714,79,176,1779851068688,https://www.bilibili.com/video/av113996568986144,http://i2.hdslb.com/bfs/archive/8f9087f9fc8ee14ee6c57f1cf246575c343c1cb9.jpg,AI玄学
115321818062718,video,不要用Ai给自己测八字！！,-,1759671500,1009654589,沐水䝨森,https://i2.hdslb.com/bfs/face/8fbeb9fff2f5a4622fea6f48669be94ece42add9.jpg,6723,0,732403,4350,1154,2954,267,4794,1779851068695,https://www.bilibili.com/video/av115321818062718,http://i0.hdslb.com/bfs/archive/e9ec9b55c47107375b022019fe95961eff15d0c5.jpg,AI玄学
116527881848327,video,AI正在攻克玄学最后的壁垒,-,1778074591,3546382266796247,天乙神算,https://i2.hdslb.com/bfs/face/33c0e4154be9a0e1abee5132ab08045d35d36170.jpg,325,0,10406,343,44,79,14,356,1779851068706,https://www.bilibili.com/video/av116527881848327,http://i1.hdslb.com/bfs/archive/bb084c83b9e9f730b1c0abd19dd07ffdbb874670.jpg,AI玄学
1805903222,video,【保姆级拆解+实操】用AI在小红书批量做玄学内容，打造高变现小红书账号，悄悄躺著赚！,,1719755656,3546640925329620,咔咔的红宝书,https://i0.hdslb.com/bfs/face/8ad5c59afd9832b179703ccb8db5e348ab3e7225.jpg,873,0,37227,2130,336,362,3,73,1779851068719,https://www.bilibili.com/video/av1805903222,http://i0.hdslb.com/bfs/archive/4d111c35f8b8ced87f7147a551578040b954188e.jpg,AI玄学
115602819649591,video,《老阎》逸播道长讲解，命会越算越薄吗？AI算命靠谱吗？,,1763959112,1505583198,老阎的秘密基地,https://i0.hdslb.com/bfs/face/bf4ada33ba42d36a31679e3c16f6f6e899e59e1a.jpg,700,0,42948,518,95,141,53,165,1779851068726,https://www.bilibili.com/video/av115602819649591,http://i1.hdslb.com/bfs/archive/b9e4166b3359cec17f012c4700f697cd1e9178b9.jpg,AI玄学
