comment_id,create_time,ip_location,note_id,content,user_id,nickname,avatar,sub_comment_count,pictures,parent_comment_id,last_modify_ts,like_count
69c71962000000001400bf76,1774655843000,辽宁,69c62d51000000002102d9cf,我卧床几个月，吃不下喝不下，暴瘦五十多斤，就是靠硬撑着用手机每天事无巨细的记录生活中变量和感受，把自己从生死边缘拉了回来[哭惹R],560546fe3fef924f627dde49,Cara（重度焦虑成功自救）,https://sns-avatar-qc.xhscdn.com/avatar/1040g2jo31ubf8oa12o6g417cqj3ftni9gnfk4g0?imageView2/2/w/120/format/jpg,308,,0,1780041994322,5743
6a186adf0000000028037ce7,1779985120000,浙江,69c62d51000000002102d9cf,正在大量频繁记录自己中,65b7c6d9000000000e0214ed,可以叫我榴莲,https://sns-avatar-qc.xhscdn.com/avatar/1040g2jo31v175j5rjq105pdnorcjk57djr17eio?imageView2/2/w/120/format/jpg,0,,0,1780041994329,0
6a185665000000002902c7d0,1779979878000,广东,69c62d51000000002102d9cf,"[庆祝][庆祝][庆祝]#生命教导[庆祝][庆祝][庆祝]
   
     万物之中，皆蕴含着反面的种子。
  
#觉醒#开悟#生命智慧#生命成长#宇宙智慧#身心灵合一",624b6375000000001000d442,丰盛喜悦,https://sns-avatar-qc.xhscdn.com/avatar/1040g2jo31rr747tqim605oibcdqk1l22qrufusg?imageView2/2/w/120/format/jpg,0,,0,1780041994337,0
6a181d490000000029035a59,1779965258000,广东,69c62d51000000002102d9cf,情绪真的很可怕，有时候做决定感觉像没思考过一样,635b91140000000018029d9d,double又,https://sns-avatar-qc.xhscdn.com/avatar/1040g2jo31vdmd40iiq6g5oqri4a657ctbm5go3g?imageView2/2/w/120/format/jpg,0,,0,1780041994343,0
69d3ebef00000000020294f7,1775496175000,北京,69c62d51000000002102d9cf,苹果系统自带的手记app真的超神，非常推荐使用,644fa26a000000002a00b5aa,蛋哥和狼妹,https://sns-avatar-qc.xhscdn.com/avatar/411309441983cdc4ce073ff8da73b5b6.jpg?imageView2/2/w/120/format/jpg,58,,0,1780041994346,194
69c8dba5000000000f00ef7f,1774771110000,广东,69c62d51000000002102d9cf,记录什么？不知道怎么写记录，感觉每天都差不多 没什么需要特别记录的,5aa348a64eacab589b88589b,一树🌲时间,https://sns-avatar-qc.xhscdn.com/avatar/1040g2jo3127k3b4l4o004a381e4acm4rr3f5cc8?imageView2/2/w/120/format/jpg,65,,0,1780041994349,627
69d303c200000000030125bb,1775436739000,广西,69c62d51000000002102d9cf,他们的目的是让ai收集人类的想法，帮他们训练ai,5b9254b0efe54400014bf675,秋豆麻袋,https://sns-avatar-qc.xhscdn.com/avatar/0dd6f7e91ce0bea602fbc47515b7c72f.jpg?imageView2/2/w/120/format/jpg,20,,0,1780041994353,749
69c76a150000000015005bb1,1774676501000,上海,69c62d51000000002102d9cf,元宝不会今后拿着我的记录举报我吗,652a8de3000000002a03669e,于～,https://sns-avatar-qc.xhscdn.com/avatar/645b7f257b3e7e60e53504de.jpg?imageView2/2/w/120/format/jpg,36,,0,1780041994355,628
69cff4d3000000000203439a,1775236308000,安徽,69c62d51000000002102d9cf,,5f1192270000000001000953,安曼,https://sns-avatar-qc.xhscdn.com/avatar/1040g2jo31kt1kvsa2g6g5nohi8jg82ajrpmalu8?imageView2/2/w/120/format/jpg,34,,0,1780041994358,814
69d661ab000000001803be62,1775657387000,湖北,69c62d51000000002102d9cf,写了20年的日记  也没啥改变,58e6f61550c4b4395083b4c7,3402,https://sns-avatar-qc.xhscdn.com/avatar/1040g2jo30tbi3emc3q0049cdo1r1bd670d9hvvg?imageView2/2/w/120/format/jpg,18,,0,1780041994361,45
